SMILES,y_true,y_pred
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77,-0.974
Cc1occc1C(=O)Nc2ccccc2,-3.3,-2.885
CC(C)=CCCC(C)=CC(=O),-2.06,-2.579
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87,-6.618
c1ccsc1,-1.33,-2.232
c2ccc1scnc1c2 ,-1.5,-2.733
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32,-6.545
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03,-4.138
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29,-4.533
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-4.42,-5.246
O=C1CCCN1,1.07,0.243
Clc1ccc2ccccc2c1,-4.14,-4.063
CCCC=C,-2.68,-2.01
CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64,-1.897
CCCCCCCCCCCCCC,-7.96,-5.45
CC(C)Cl,-1.41,-1.585
CCC(C)CO,-0.47,-1.027
N#Cc1ccccc1,-1.0,-2.03
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64,-3.989
CCCCCCCCCC(C)O,-2.94,-3.096
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43,-6.627
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.594,-3.355
CCOP(=S)(OCC)SCSCC,-4.11,-3.747
CCOc1ccc(NC(=O)C)cc1,-2.35,-2.342
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47,-4.479
CCCCCCCO,-1.81,-1.751
Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39,-1.452
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,-1.974
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9,-6.553
CCCCCCCC(=O)OC,-3.17,-2.608
CCc1ccc(CC)cc1,-3.75,-3.633
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,-4.367
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,-4.229
ClC(=C)Cl,-1.64,-1.939
Cc1cccc2c1Cc3ccccc32,-5.22,-4.478
CCCCC=O,-0.85,-1.103
N(c1ccccc1)c2ccccc2,-3.504,-3.857
CN(C)C(=O)SCCCCOc1ccccc1,-3.927,-3.297
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,-4.637
CCCCCCCI,-4.81,-3.904
c1c(Cl)cccc1c2ccccc2,-4.88,-4.685
OCCCC=C,-0.15,-0.791
O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655,-0.527
CC(C)C1CCC(C)CC1O ,-2.53,-2.782
CC(C)OC=O,-0.63,-0.684
CCCCCC(C)O,-1.55,-1.678
CC(=O)Nc1ccc(Br)cc1,-3.083,-3.012
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127,-3.005
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.76,-4.248
c2c(C)cc1nc(C)ccc1c2 ,-1.94,-3.342
CCCCCCC#C,-3.66,-2.509
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,-2.17,-2.421
c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057,-5.568
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,-2.523,-3.419
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.6,-7.185
Cc1ccccc1O,-0.62,-2.281
CC(C)CCC(C)(C)C,-5.05,-3.631
Cc1ccc(C)c2ccccc12,-4.14,-4.147
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57,-5.931
CCCC(=O)C,-0.19,-0.846
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15,-8.304
CCCOC(=O)CC,-0.82,-1.545
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68,-2.734
Nc1ccc(O)cc1,-0.8,-1.231
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81,-2.321
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931,-6.269
CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06,-3.233
NC(=O)c1cnccn1,-0.667,-0.674
CCC(Br)(CC)C(=O)NC(N)=O,-2.68,-2.198
Clc1ccccc1c2ccccc2Cl ,-5.27,-4.984
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-3.38,-1.243
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46,-5.361
CC1(C)C2CCC1(C)C(=O)C2,-1.96,-2.158
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,-2.36
CCCCC(=O)OCC,-2.25,-1.899
CC(C)CCOC(=O)C,-1.92,-1.817
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886,-4.153
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01,-5.762
CCCBr,-1.73,-1.949
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.493,-4.603
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,-2.087
Cc1ncnc2nccnc12,-0.466,-1.24
NC(=S)N,0.32,0.329
Cc1ccc(C)cc1,-2.77,-3.035
CCc1ccccc1CC,-3.28,-3.601
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,-4.215
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876,-6.878
CCCN(=O)=O,-0.8,-0.816
CC(C)C1CCC(C)CC1=O,-2.35,-2.516
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36,-4.423
O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48,-3.322
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46,-3.063
c1ccc2c(c1)c3cccc4cccc2c34,-6.0,-4.957
CCCOC(C)C,-1.34,-1.354
